week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,auroc,auprc,f1,precision,recall,balanced_acc
2,LightGBM,lcpo,9,DDD,2013J,0.7361384700895514,0.794921148264348,0.6580444904293844,0.7718446601941747,0.5734896302975654,0.6733551890932942
2,LightGBM,lcpo,10,DDD,2014B,0.7294736754085475,0.8188406350055119,0.667175572519084,0.7789661319073083,0.5834445927903872,0.6622859707166967
2,LightGBM,lcpo,11,DDD,2014J,0.7628610536622407,0.810186762196033,0.6932482721956407,0.7494252873563219,0.6449060336300693,0.684826754188772
2,LightGBM,lcpo,12,EEE,2013J,0.7652685266525074,0.738297562899315,0.642691415313225,0.6610978520286396,0.6252821670428894,0.6960565186610177
2,LightGBM,lcpo,13,EEE,2014B,0.7583971273969528,0.7853323652112507,0.65086887835703,0.6959459459459459,0.6112759643916914,0.6795875620277785
2,LightGBM,lcpo,14,EEE,2014J,0.7825872551749746,0.7411434248033475,0.6640316205533597,0.6614173228346457,0.6666666666666666,0.7076023391812865
2,LightGBM,lcpo,15,FFF,2013B,0.7224464514066495,0.7552496261831301,0.5524100994644223,0.76,0.4338942307692308,0.6440570898091679
2,LightGBM,lcpo,16,FFF,2013J,0.7459961102655167,0.7860265519316806,0.6021955044432828,0.7944827586206896,0.48484848484848486,0.6743877127438771
2,LightGBM,lcpo,17,FFF,2014B,0.7450703436209976,0.7983164080965667,0.6216412490922295,0.8060263653483992,0.5059101654846335,0.6742089053722862
2,LightGBM,lcpo,18,FFF,2014J,0.7835451673438469,0.8174485358084175,0.643756050338819,0.812958435207824,0.5328525641025641,0.6979392632509239
2,LightGBM,lcpo,19,GGG,2013J,0.6167933558558558,0.5005993373801292,0.5359361135758651,0.39374185136897,0.8388888888888889,0.526707957957958
2,LightGBM,lcpo,20,GGG,2014B,0.6625817667511344,0.5852398753993409,0.6137254901960785,0.4706766917293233,0.8816901408450705,0.5726442336024515
2,LightGBM,lcpo,21,GGG,2014J,0.6803906365381776,0.5842238787288322,0.6072289156626506,0.48,0.8262295081967214,0.6056823216659283
4,LightGBM,lcpo,0,AAA,2013J,0.7122302158273381,0.5583731821449467,0.5,0.4864864864864865,0.5142857142857142,0.6546248715313463
4,LightGBM,lcpo,1,AAA,2014J,0.7076157538114061,0.5710588241153665,0.5702479338842975,0.5307692307692308,0.6160714285714286,0.6874823546019198
4,LightGBM,lcpo,2,BBB,2013B,0.8166490546343329,0.8620730263114895,0.7524324324324324,0.7855530474040632,0.7219917012448133,0.7426894994393431
4,LightGBM,lcpo,3,BBB,2013J,0.8178159631029402,0.8550134395398178,0.7471792728792311,0.7280130293159609,0.7673819742489271,0.7279074050349112
4,LightGBM,lcpo,4,BBB,2014B,0.8143534920403277,0.8736426708217501,0.7464167585446527,0.7295258620689655,0.7641083521444695,0.7094269408590298
4,LightGBM,lcpo,5,BBB,2014J,0.7009906493664717,0.7431301175768954,0.6774691358024691,0.6046831955922864,0.7701754385964912,0.6359557748538012
4,LightGBM,lcpo,6,CCC,2014B,0.8419269454110727,0.9084449281867207,0.8380726698262243,0.8427323272438443,0.8334642576590731,0.7674108618612108
4,LightGBM,lcpo,7,CCC,2014J,0.831693179515627,0.8788547188307699,0.7648155050316809,0.855,0.6918408631153068,0.7602061458433678
4,LightGBM,lcpo,8,DDD,2013B,0.8548290186187968,0.9070194071212772,0.7863013698630137,0.8605697151424287,0.7238335435056746,0.770740301164602
4,LightGBM,lcpo,9,DDD,2013J,0.8460289266131585,0.8832930631069768,0.7795121951219512,0.8490967056323061,0.7204688908926962,0.7745890895959259
4,LightGBM,lcpo,10,DDD,2014B,0.842120739970622,0.8957056007310089,0.7912727272727272,0.8690095846645367,0.7263017356475301,0.7775558782621784
4,LightGBM,lcpo,11,DDD,2014J,0.8307637452667127,0.874641856951661,0.7715472481827622,0.8120218579234972,0.734915924826904,0.7588721038275934
4,LightGBM,lcpo,12,EEE,2013J,0.798578137567785,0.7901687861525702,0.6979542719614922,0.7474226804123711,0.654627539503386,0.7468539996367505
4,LightGBM,lcpo,13,EEE,2014B,0.7780340622896044,0.8085759926026689,0.678125,0.7161716171617162,0.6439169139465876,0.7015102777015851
4,LightGBM,lcpo,14,EEE,2014J,0.8109698435904575,0.7829585039701056,0.7082945013979497,0.6678383128295254,0.753968253968254,0.7388262322472849
4,LightGBM,lcpo,15,FFF,2013B,0.7741329861794216,0.8141726236054918,0.5900079302141158,0.8671328671328671,0.44711538461538464,0.6871126795199686
4,LightGBM,lcpo,16,FFF,2013J,0.7921071445044048,0.8338957806270452,0.6360235168359166,0.8711566617862372,0.5008417508417509,0.7102382270190489
4,LightGBM,lcpo,17,FFF,2014B,0.7938996970814266,0.8535882683303588,0.6526631657914479,0.893223819301848,0.5141843971631206,0.7173368468996031
4,LightGBM,lcpo,18,FFF,2014J,0.8214729960057846,0.8573860461183395,0.697986577181208,0.8687350835322196,0.5833333333333334,0.7424276335422262
4,LightGBM,lcpo,19,GGG,2013J,0.6175112612612613,0.5068720565416119,0.5448868071818892,0.3789359391965255,0.9694444444444444,0.5016141141141142
4,LightGBM,lcpo,20,GGG,2014B,0.6869556249631681,0.6280214360582487,0.6053772766695577,0.43734335839599,0.9830985915492958,0.5218840238081207
