week,model,split_type,fold_or_seed,held_out_module,held_out_presentation,feature_set,auroc,auprc,f1,precision,recall,balanced_acc
8,GNN,lcpo,18,FFF,2014J,full,0.8735315806992172,0.9077168326933716,0.7899159663865546,0.8815399802566634,0.7155448717948718,0.8040571270344099
8,GNN,lcpo,18,FFF,2014J,full,0.8804533090007576,0.9133952346243668,0.7811634349030471,0.9215686274509804,0.6778846153846154,0.8067131223744921
8,GNN,lcpo,18,FFF,2014J,full,0.8596142368523747,0.8996816791511941,0.7863924050632911,0.7765625,0.7964743589743589,0.7702156933636343
8,GNN,lcpo,18,FFF,2014J,full,0.8731657312398136,0.9073402000643688,0.7827664399092971,0.9017763845350052,0.6915064102564102,0.8036762131855015
8,GNN,lcpo,18,FFF,2014J,full,0.8839425085508344,0.9153810498478848,0.7643129770992366,0.9445754716981132,0.6418269230769231,0.7998749655671098
8,GNN,lcpo,19,GGG,2013J,full,0.6621527777777778,0.5418016624905682,0.5245033112582781,0.5012658227848101,0.55,0.6086148648648648
8,GNN,lcpo,19,GGG,2013J,full,0.6703922672672673,0.5331065820430382,0.5724137931034483,0.415,0.9222222222222224,0.5658408408408409
8,GNN,lcpo,19,GGG,2013J,full,0.6584787912912913,0.53367193865223,0.5724976613657624,0.4315937940761636,0.85,0.5846283783783783
8,GNN,lcpo,19,GGG,2013J,full,0.6775478603603604,0.5395282401422926,0.3992395437262357,0.6325301204819277,0.2916666666666667,0.5943130630630631
8,GNN,lcpo,19,GGG,2013J,full,0.6591732357357358,0.5192362327137572,0.5571095571095571,0.4799196787148594,0.6638888888888889,0.6131944444444444
8,GNN,lcpo,20,GGG,2014B,full,0.6622458600978254,0.5909397109889261,0.6011854360711262,0.4297820823244552,1.0,0.5073221757322176
8,GNN,lcpo,20,GGG,2014B,full,0.6722788614532382,0.6144323486446601,0.6011854360711262,0.4297820823244552,1.0,0.5073221757322176
8,GNN,lcpo,20,GGG,2014B,full,0.6996405209499675,0.6560905382608981,0.6043533930857875,0.5539906103286385,0.6647887323943662,0.6336495963227061
8,GNN,lcpo,20,GGG,2014B,full,0.6860097825446403,0.6286448484807463,0.628310502283105,0.4648648648648649,0.9690140845070424,0.570281100830927
8,GNN,lcpo,20,GGG,2014B,full,0.6639813778065885,0.6116072023398038,0.6121739130434782,0.4427672955974843,0.991549295774648,0.5323855265484119
8,GNN,lcpo,21,GGG,2014J,full,0.6779870033968394,0.6325479789249946,0.5806451612903226,0.4192139737991266,0.9442622950819672,0.5228068232166593
8,GNN,lcpo,21,GGG,2014J,full,0.6541057450893517,0.6285690214086588,0.5710059171597633,0.5202156334231806,0.6327868852459017,0.6159429921725004
8,GNN,lcpo,21,GGG,2014J,full,0.6514621178555604,0.6195095790518491,0.5579119086460033,0.5551948051948052,0.5606557377049181,0.6260485895731798
