week,fold_idx,held_out_module,held_out_presentation,model_seed,n_train,n_test,best_val_auroc,best_epoch,auroc,auprc,f1,precision,recall,balanced_acc,pipeline_version
8,17,FFF,2014B,7,27964,1500,0.8335380523731588,199,0.8468001966440382,0.8980903086563459,0.7799410029498525,0.7785630153121319,0.7813238770685579,0.7469310516841261,v2_corrected
8,17,FFF,2014B,17,27964,1500,0.8339005728314239,142,0.8485208319777908,0.8986598340717307,0.7312280701754386,0.8998272884283247,0.6158392434988179,0.763577114104149,v2_corrected
8,17,FFF,2014B,99,27964,1500,0.8342217675941082,199,0.8542918284280767,0.9032802300775366,0.7249097472924187,0.9313543599257885,0.5933806146572104,0.7684028455549049,v2_corrected
8,18,FFF,2014J,42,27194,2365,0.828409494837155,164,0.8735315806992172,0.9077168326933717,0.7899159663865546,0.8815399802566634,0.7155448717948718,0.8040571270344099,v2_corrected
8,18,FFF,2014J,123,27194,2365,0.8317429372062848,198,0.8804533090007576,0.9133952346243668,0.7811634349030471,0.9215686274509803,0.6778846153846154,0.8067131223744921,v2_corrected
8,18,FFF,2014J,7,27194,2365,0.8251802906894332,197,0.8596142368523747,0.8996816791511941,0.7863924050632911,0.7765625,0.7964743589743589,0.7702156933636343,v2_corrected
8,18,FFF,2014J,17,27194,2365,0.8319797629561785,199,0.8731657312398136,0.9073402000643689,0.7827664399092971,0.9017763845350052,0.6915064102564102,0.8036762131855015,v2_corrected
8,18,FFF,2014J,99,27194,2365,0.8290896601354225,198,0.8839425085508344,0.9153810498478847,0.7643129770992366,0.9445754716981132,0.6418269230769231,0.7998749655671098,v2_corrected
8,19,GGG,2013J,42,28489,952,0.8378971695470012,195,0.6621527777777778,0.5418016624905682,0.5245033112582781,0.5012658227848101,0.55,0.6086148648648648,v2_corrected
8,19,GGG,2013J,123,28489,952,0.8365254274345184,180,0.6703922672672673,0.5331065820430382,0.5724137931034483,0.415,0.9222222222222223,0.5658408408408409,v2_corrected
8,19,GGG,2013J,7,28489,952,0.8388328531426175,198,0.6584787912912913,0.53367193865223,0.5724976613657624,0.4315937940761636,0.85,0.5846283783783783,v2_corrected
8,19,GGG,2013J,17,28489,952,0.8431428279913129,198,0.6775478603603604,0.5395282401422926,0.39923954372623577,0.6325301204819277,0.2916666666666667,0.5943130630630631,v2_corrected
8,19,GGG,2013J,99,28489,952,0.8395162949035003,199,0.6591732357357358,0.5192362327137572,0.5571095571095571,0.4799196787148594,0.6638888888888889,0.6131944444444444,v2_corrected
8,20,GGG,2014B,42,28594,833,0.8409557556031427,199,0.6622458600978254,0.5909397109889261,0.6011854360711262,0.4297820823244552,1.0,0.5073221757322176,v2_corrected
8,20,GGG,2014B,123,28594,833,0.8408254988932188,198,0.6722788614532382,0.6144323486446601,0.6011854360711262,0.4297820823244552,1.0,0.5073221757322176,v2_corrected
8,20,GGG,2014B,7,28594,833,0.8396952714409558,199,0.6996405209499675,0.6560905382608981,0.6043533930857875,0.5539906103286385,0.6647887323943662,0.6336495963227061,v2_corrected
8,20,GGG,2014B,17,28594,833,0.8402283219769522,197,0.6860097825446403,0.6286448484807463,0.628310502283105,0.4648648648648649,0.9690140845070423,0.570281100830927,v2_corrected
8,20,GGG,2014B,99,28594,833,0.8396786386610733,186,0.6639813778065885,0.6116072023398038,0.6121739130434782,0.4427672955974843,0.9915492957746479,0.5323855265484119,v2_corrected
8,21,GGG,2014J,42,28656,749,0.8392265673789141,198,0.6779870033968394,0.6325479789249946,0.5806451612903226,0.4192139737991266,0.9442622950819672,0.5228068232166593,v2_corrected
8,21,GGG,2014J,123,28656,749,0.8350684974822333,199,0.6541057450893517,0.6285690214086588,0.5710059171597633,0.5202156334231806,0.6327868852459017,0.6159429921725004,v2_corrected
8,21,GGG,2014J,7,28656,749,0.8330072489545537,198,0.6514621178555604,0.6195095790518491,0.5579119086460033,0.5551948051948052,0.5606557377049181,0.6260485895731798,v2_corrected
